selection,parent-type,node-type,child-type,count
parens,assign,bracketedPrimary,binaryOr,3294
parens,divide,bracketedPrimary,assign,9
superfluous-parens,array-subscript,bracketedPrimary,shiftLeft,27
superfluous-parens,assign,bracketedPrimary,postFixIncr,6
operator-precedence,plus2,minus1,function-call,44
parens,binaryAnd,bracketedPrimary,<TypeIdInitializerExpression>,6
parens,notequals,bracketedPrimary,plus2,513
parens,divide,bracketedPrimary,binaryXor,24
parens,<ForStatement>,bracketedPrimary,function-call,1
superfluous-parens,function-call,bracketedPrimary,divideAssign,1
superfluous-parens,moduloAssign,bracketedPrimary,plus2,6
superfluous-parens,equals,bracketedPrimary,array-subscript,56
parens,array-subscript,bracketedPrimary,amper,133
parens,plus1,bracketedPrimary,conditional,2
superfluous-parens,pmdot,bracketedPrimary,star,32
superfluous-parens,conditional,bracketedPrimary,conditional,2163
superfluous-parens,conditional,bracketedPrimary,greaterEqual,1095
parens,greaterEqual,bracketedPrimary,shiftRight,134
parens,binaryXor,bracketedPrimary,multiply,74
superfluous-parens,modulo,bracketedPrimary,star,21
parens,cast,bracketedPrimary,sizeof,10
parens,multiply,bracketedPrimary,not,34
parens,multiply,bracketedPrimary,shiftRightAssign,2
superfluous-parens,minus2,bracketedPrimary,cast,401
operator-precedence,plus2,amper,function-call,11
parens,minus2,bracketedPrimary,shiftLeft,5556
parens,lessThan,bracketedPrimary,expression-list,3
superfluous-parens,assign,bracketedPrimary,greaterThan,329
superfluous-parens,postFixIncr,bracketedPrimary,array-subscript,8
parens,minusAssign,bracketedPrimary,notequals,4
superfluous-parens,plusAssign,bracketedPrimary,equals,78
superfluous-parens,conditional,bracketedPrimary,multiply,140
superfluous-parens,binaryOrAssign,bracketedPrimary,field-reference,6
parens,cast,bracketedPrimary,binaryAnd,1811
superfluous-parens,tilde,bracketedPrimary,tilde,2
operator-precedence,binaryXor,minus1,function-call,5
parens,plus2,bracketedPrimary,tilde,25
parens,shiftRightAssign,bracketedPrimary,greaterThan,2
parens,assign,bracketedPrimary,notequals,1386
operator-precedence,conditional,tilde,array-subscript,4
superfluous-parens,lessEqual,bracketedPrimary,function-call,19
parens,amper,bracketedPrimary,prefixIncr,2
superfluous-parens,binaryOr,bracketedPrimary,cast,294
superfluous-parens,binaryAnd,bracketedPrimary,cast,534
operator-precedence,conditional,not,not,70
superfluous-parens,field-reference,bracketedPrimary,<SimpleTypeConstructorExpression>,1
parens,prefixDecr,bracketedPrimary,array-subscript,8
parens,greaterThan,bracketedPrimary,modulo,157
parens,tilde,bracketedPrimary,bracketedPrimary,156
parens,<DoStatement>,bracketedPrimary,notequals,1
superfluous-parens,plus1,bracketedPrimary,<IdExpression>,1
operator-precedence,multiply,multiply,,219
parens,<ForStatement>,bracketedPrimary,binaryAnd,7
parens,binaryOrAssign,bracketedPrimary,minus2,59
parens,delete,bracketedPrimary,<LiteralExpression>,56
superfluous-parens,assign,bracketedPrimary,multiply,562
superfluous-parens,bracketedPrimary,bracketedPrimary,lessEqual,568
parens,binaryOr,bracketedPrimary,<SimpleTypeConstructorExpression>,4
parens,minusAssign,bracketedPrimary,array-subscript,2
parens,multiply,bracketedPrimary,lessEqual,5
superfluous-parens,lessThan,bracketedPrimary,field-reference,89
parens,<SwitchStatement>,bracketedPrimary,cast,1
parens,cast,bracketedPrimary,shiftLeft,282
parens,<SimpleDeclSpecifier>,bracketedPrimary,greaterThan,3
superfluous-parens,binaryXor,bracketedPrimary,modulo,2
parens,logicalAnd,bracketedPrimary,amper,2
parens,assign,bracketedPrimary,postFixIncr,6
operator-precedence,binaryXor,minus2,,27
operator-precedence,binaryOr,equals,,8
parens,expression-list,bracketedPrimary,lessThan,2
superfluous-parens,binaryOr,bracketedPrimary,field-reference,145
parens,<CaseStatement>,bracketedPrimary,shiftLeft,174
parens,minusAssign,bracketedPrimary,multiply,177
parens,logicalAnd,bracketedPrimary,plusAssign,5
parens,plus1,bracketedPrimary,postFixDecr,2
parens,pmarrow,bracketedPrimary,field-reference,79
superfluous-parens,bracketedPrimary,bracketedPrimary,field-reference,92
parens,<UnaryExpression>,bracketedPrimary,<SimpleTypeConstructorExpression>,1
parens,greaterThan,bracketedPrimary,cast,259
parens,<Enumerator>,bracketedPrimary,<LiteralExpression>,72
parens,<WhileStatement>,bracketedPrimary,lessEqual,1
parens,<Enumerator>,bracketedPrimary,binaryAnd,4
parens,binaryXor,bracketedPrimary,notequals,166
